product_name	packaging	brands	categories_tags	ingredients_text	nutriscore_grade	ecoscore_grade
Blanquette de Volaille et son Riz	Plastique, Carton	Comme J’aime	en:meats-and-their-products,en:meals,en:meals-with-meat,en:poultry-meals,en:microwave-meals,en:turkey-dishes	Riz précuit 40,4 % (eau, riz, huile de colza, sel), viande de dinde précuite 28,1 % (viande de dinde (Origine France), eau, sirop de glucose, sel, stabilisant : E451i, amidon modifié de maïs), eau, carotte 4,7 %, _crème_ fraîche épaisse 3,2 % champignon de Paris 2,5 %, oignon, amidon modifié de maïs, arôme naturel, extrait de vin blanc 0.2 % [_Sulfites_], sel.	b	c
Salade Cesar	Frais	Kirkland Signature	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:leaf-vegetables	INGREDIENTS : LAITUE. VINAIGRETTE (HUILE DE CANOLA. EAU. AIL. JAUNE D'OEUF CONGELE. FROMAGE PARMESAN. JUS DE CITRON CONCENTRE. SEL. PATE D'ANCHOIS. ASSAISONNEMENTS. GOMME XANTHANE). FROMAGE PARMESAN. CROUTONS (FARINE. FARINE DE BLE ENTIER. HUILE DE PALME. EAU. GLUCOSE—FRUCTOSE. FARINE DE SEIGLE. SEL. GLUTEN DE BLE. CARAMEL. MELASSE OUALITE FANTAISIE. POUDRE DE LACTOSERUM. MALTODEXTRINE. CARVI. LEVURE. VINAIGRE. SUCRE. POUDRE D'AIL. LEVAIN DE SEIGLE.  PERSIL. ACIDE ASCORBIQUE. PHOSPHATE MONOCALCIQUE. SULFATE D'AMMONIUM. SULFATE DE CALCIUM). CITRON. 	d	unknown
Chaussons tressés aux pommes	Frais	Kirkland Signature	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:viennoiseries,en:pastries,en:apple-turnovers	Pâte (farine, margarines d'huile de palme et de canola, eau, sucre, sel, L-cystéine, essences). Garniture: (Pommes, eau, sucre, glucose-fructose, amidon de maïs modifié, acide citrique, cannelle, sel, chlorure de calcium, benzoate de sodium, sorbate de potassium, sulfites), sucre.	c	b
Pain Burger Artisan	Plastique, Frais	Kirkland Signature	fr:boulange	Ingrédients : Farine, eau, sel, levure, orge malté	b	unknown
pesto	Verre, Pot en verre	Kazidomi	en:condiments,en:sauces,en:pestos,en:groceries	Rucola à l'huile d'olive vierge extra* 39% (rucola* 52%, huile d'olive vierge extra* 41,5%, sel), _Noix de cajou*_, huile d'olive vierge extra*, Parmigiano Reggiano A.O.P. * (_lait*_, sel, présure), ail*. (*Ingrédients biologiques).	e	b
Crème d'Artichaut Bio	Glass,fr:Pot en verre	Kazidomi	en:spreads,en:salted-spreads,en:artichoke-spreads	Artichauts* 70%, Huile d'olive vierge extra*, Sel, Régulateur d'acidité : E330. (*ingrédients biologiques)	d	unknown
Quiche Lorraine	Frais	Kirkland Signature	en:meals,en:pizzas-pies-and-quiches,en:quiches,en:lorraine-quiche	INGRÉDIENTS : GARNITURE (SUBSTANCES LAITIÈRES. JAMBON (PORC. BOUILLON DE LEGUMES. SEL. SUCRE, DEXTROSE. NITRITE DE SODIUM. LACTATE DE SODIUM, ERYTHORBATE DE SODIUM. DIÂCETATE DE SODIUMI, OEUF LIQUIDE ENTIER. FROMAGES CHEDUAR ET SUISSE [SUBSTANCES LAITIERES MODIFIEES. SEL. CULTURE BACTERIENNE. ENZYME MICROBIEN. CHLORURE DE CALCIUM. NATAMYCINE. CELLULOSE]. OIGNON. AMIDON DE MAIS MODIFIE. EPICES. SEL. CITRATE DE SODIUM. PHOSPHATE DE SODIUM, CARRAGHENINE. GOMME DE CAROUBE), CROUTE (FARINE. SHORTENING D'HUILE DE PALME ET DE CANOLA. EAU. DEXTROSE. SEL. LEVURE. HUILE VEGETALE. L-CYSTEINE. PROPIONATE DE SODIUM), FROMAGES CHEDDAR ET MONTEREY (SUBSTANCES LAITIERES MODIFIEES. CULTURE BACTERIENNE. SEL. ENZYME MICROBIEN. CHLORURE DE CALCIUM. CELLULOSE. COLORANT. NATAMYCINE). PERSIL SECHE. CONTIENT 2 OEUF. BLE. LAIT.  PEUT CONTENIRZ POISSON. MOLLUSQUES. CRUSTACES. NOIX  VARIEES. SESAME. MOUTARDE. SOYA. SULFITES.  	b	d
Bonbons acidulés Raisin Fraise	Carton	Wonka,Nerds	en:snacks,en:sweet-snacks,en:confectioneries,en:candies	Dextrose, sucre, sirop de glucose, acidifiant : acide malique, arômes artificiels, agent d'enrobage : E903, colorants : E133, E132, E129, E102, E110.	d	c
Pâte d'Amandes	Plastique	Alice Délice	en:snacks,en:sweet-snacks,en:confectioneries,en:marzipan,en:almond-paste	Sucre (betterave), _amandes_ (20.1 %), sirop de glucose, stabilisants E422, E420(i) + E516, _amandes_ amères (1,2 %), colorants : E171 + E120, anti-agglomérants E339(ii), émulsifiants: E450(ii)+ E401.	d	d
Pâte à Sucre	Plastique, Sachet	Alice Délice	en:snacks,en:sweet-snacks,en:confectioneries,en:cooking-helpers,en:pastry-helpers,en:fondants,fr:decorations	Sucre (74 %), sirop de glucose, huiles et graisses végétales (palme, tournesol, illipé), sirop de sucre inverti, stabilisant : E420ii, eau, humectant : E422, épaississant : E415, émulsifiant : E471, acidifiant : E330, arôme, conservateur.	d	unknown
Brioches roulées avec raisins	En caissette	Kirkland Signature	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:pastries	INGRÉDIENTS ; BRIOCHE (FARINE, EAU, RAISINS SECS, BEURRE, SUCRE, LEVURE, FÉCULE DE POMME DE TERRE MODIFIÉE, ŒUF ENTIER LIQUIDE, SEL, POUDRE DE LACTOSÉRUM, GLUTEN DE BLÉ, LAIT ÉCRÉMÉ DESSÉCHÉ , AMIDON DE BLÉ, ACÉTATE DE CALCIUM, PHISPHATE DE SODIUM, LÉCITHINE DE COLZA, ACIDE ASCORBIQUE, AMYLASE, XYLATASE, B-CAROTÈNE, ARÔME ARTIFICIEL) . NAPPAGE :’ (EAU, SUCRE, SIROP DE MAÏSPECTINE, ACIDE CITRIQUE, CARRAGHÉNINE, GOMME DE XANTHANE, SORBATE DE POTASSIUM, ARÔME ARTIFICIEL, CITRATE DE SODIUM, CHLORURE DE CALCIUM, MONO ET DIGLYCÉRIDES, HUILE DE CANOLA, PHOSPHATE DE SODIUM, COLORANT)I..	b	unknown
Belgische Pralinen	Pappe, 21 PAP	J. D. Gross	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons	Zucker, Kakaomasse, Kakaobutter, _Vollmilchpulver_, Palmöl, Karamellzubereitung (Glukosesirup, Palmöl, Zucker, _Vollmilchpulver_, Wasser, Emulgator: Lecithine (_Soja_), Aroma, Speisesalz), Glukose-Fruktose-Sirup, _Butterreinfett_, Marzipan (Zucker, _Mandeln, Dextrose, Feuchthaltemittel: Glycerin, Sorbit), Dextrose, _Haselnusskerne_, stark entöltes Kakaopulver, Emulgator: Lecithine (_Soja_), Glukosesirup, 0,15% Spirituose, _Mandeln_, _Pisatazien_, Aroma, _Magermilchpulver_, Kaffee	e	unknown
Donuts fourrage vanille			en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:doughnuts		e	b
Pastille Vichy	Papier	Vichy	en:snacks,en:sweet-snacks,en:confectioneries,en:candies,fr:bonbons-sans-sucres,fr:pastilles	Édulcorants (Sorbitol, Aspartame), agent d'enrobage (Sels de magnésium d'acides), Extraits des eaux de Vichy (0,3 %), Arôme. consommation excessive peut avoir des effets laxatifs. Contient une source de phénylalanine.	c	c
M&M's Peanut Butter	Plastique, Sachet	M&M's,Mars,Mars Chocolat	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:confectioneries,en:chocolate-candies,en:bonbons,en:chocolate-covered-nuts,en:chocolate-covered-peanuts	Sucre, _Arachide_, pâte de cacao, lait écrémé en poudre, _lactose_ et protéine de _lait_, matières grasses végétales, beurre de cacao, _beurre_ concentré, amidon, sirop de glucose, Iécithine de _soja_, gomme arabique, colorant, arôme, sel, huile végétale.	e	d
Pepsi, Nouveau goût !	Canette aluminium	Pepsi	en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:sweetened-beverages	Eau gazéifiée, sucre, colorant caramel E150d, acidifiant : acide phosphorique, arômes (dont : extraits naturels de végétaux, caféine)	e	not-applicable
Chicken Chips	Plastique, Sachet, Surgelé, PEBD - Polyéthylène basse densité, 04	Bofrost	en:meats-and-their-products,en:frozen-foods,en:meals,en:meats,en:chicken-and-its-products,en:meat-preparations,en:poultries,en:breaded-products,en:chickens,en:cooked-poultries,en:chicken-preparations,en:cooked-chicken,en:frozen-ready-made-meals,en:poultry-nuggets,en:breaded-chicken,en:chicken-nuggets	Filet de poulet 64 %, maïs, eau, huile de colza, amidon modifié de _blé_, sel, farine de _blé_, sucre, dextrose, extrait de malt d'_orge_, extrait de poivre.	c	d
7Up	Boîte de conserve ou canette, Canette	7Up,Pepsico	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:lemon-soft-drinks,en:sweetened-beverages	Eau gazéifiée, sucre, acidifiants (acide citrique, acide malique), arômes (extraits naturels de citron et de citron vert), correcteur d'acidité (citrate de sodium)	e	not-applicable
Beignets à la pomme			en:snacks,en:sweet-snacks,en:sweet-fritters		c	unknown
Confiture d'oranges	Plastique, Sachet, Boîte, Carton	Bijou	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:fruit-cakes,fr:cakes-aux-raisins	Farine de _blé_, _œufs_ frais, huile de colza, sucre, raisins secs 13% (raisins, huile de colza, dextrose), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (_blé_), sel, _lait_ écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme naturel d'orange.	d	c
Cakes aux Fruits	Plastique, Sachet, Boîte, Carton	Bijou	en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pastries,en:fruit-cakes	Fruits 37.4% [fruits confits 21,5% [fruits (pastèque, bigarreaux, écorce d’orange), sirop de glucose-fructose, sucre, conservateurs : sorbate de potassium - anhydride sulfureux, colorants : caramel ordinaire - E120, E133, correcteur d’acidité : acide citrique], raisins secs au rhum 15.9%, farine de blé, huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, émulsifiants : mono et diglycérides d’acides gras, lait écrémé en poudre, arôme naturel d’orange. 	d	c
